Year,State,State Birth Rate,State Lower CI,State Upper CI
2004,South Dakota,34.446969696969695,25.490909090909092,46.73939393939394
2004,Tennessee,55.012631578947364,47.87157894736842,63.00842105263158
2004,Texas,65.15984251968503,54.4988188976378,78.8216535433071
2004,Utah,33.686206896551724,27.386206896551727,42.08275862068966
2004,Vermont,21.87857142857143,17.914285714285715,26.535714285714285
2004,Virginia,39.39022556390977,33.26466165413534,46.48872180451128
2004,Washington,38.243589743589745,33.42820512820513,43.93076923076923
2004,West Virginia,43.14727272727273,36.32363636363636,50.972727272727276
2004,Wisconsin,27.26388888888889,23.102777777777778,32.08472222222222
2004,Wyoming,40.68260869565218,33.05652173913043,49.86521739130435
2005,Alabama,53.02985074626866,47.85970149253731,58.62388059701493
2005,Alaska,45.044,35.808,57.343999999999994
